ID,Название,Категории,Индекс,Страна,Регион,Район,Город,Улица,Дом,Полный адрес,Мобильные,Немобильные,Сайт,График,Широта,Долгота,ID сети,Сеть,ID,Название,Категории,Индекс,Страна
58034861353,Центр аддитивных технологий 3D-Shop Center Москва,3D-печать | конструкторское бюро | пластмассовые и пластиковые изделия,109012,Россия,,,Москва,улица Ильинка,4,"Россия, Москва, улица Ильинка, 4",+7 (915) 612-51-04 Офис,,http://3d-shop.ru/,пн-пт 12:00–14:00,55.75437,37.624965,,,"Способ оплаты(дисконтная система скидок,предоплата,постоплата,наличными,оплата картой,электронными деньгами,банковским переводом) | Оплата картой",https://www.instagram.com/3dshopcenter,https://yandex.ru/maps/org/tsentr_additivnykh_tekhnologiy_3d_shop_center_moskva/58034861353,http://3d-shop.ru/,+7 (915) 612-51-04 Офис
1376083970,Даск,3D-печать | студия дизайна,125212,Россия,,,Москва,Кронштадтский бульвар,7,"Россия, Москва, Кронштадтский бульвар, 7",+7 (926) 350-50-05,+7 (495) 120-41-44,http://dasc-corp.com/,пн-пт 9:00–18:00; сб 12:00–18:00,55.840902,37.487397,,,,,https://yandex.ru/maps/org/dask/1376083970,http://dasc-corp.com/,+7 (926) 350-50-05 | +7 (495) 120-41-44
42262434137,Услуги 3D-печати,3D-печать,123056,Россия,,,Москва,улица Юлиуса Фучика," 6, стр. 2","Россия, Москва, улица Юлиуса Фучика, 6, стр. 2",+7 (963) 999-54-17,,,пн-пт 10:00–19:00,55.76917,37.588323,,,,,https://yandex.ru/maps/org/uslugi_3d_pechati/42262434137,,+7 (963) 999-54-17
1191037294,3D-Лаборатория,3D-печать | промышленный дизайн,125310,,,,Москва,Волоколамское шоссе," 4, корп. 6","город Москва, Волоколамское шоссе, 4к6",,"+7 (495) 649-48-80,+7 (499) 158-45-91",http://3d-laboratory.ru/,пн-пт 10:00–18:00,55.810208,37.498321,,,Оплата картой,https://vk.com/3d_lab_msk,https://yandex.ru/maps/org/3d_laboratoriya/1191037294,http://3d-laboratory.ru/,+7 (495) 649-48-80 | +7 (499) 158-45-91
97714883709,Fabric3d,3D-печать,125057,Россия,,,Москва,улица Острякова,6,"Россия, Москва, улица Острякова, 6",,+7 (495) 728-33-11,http://www.fabric3d.ru/,"ежедневно, 9:00–20:00",55.799897,37.526465,,,,,https://yandex.ru/maps/org/fabric3d/97714883709,http://www.fabric3d.ru/,+7 (495) 728-33-11
203248178420,3dworkshop,3D-печать,124575,Россия,Москва,,Зеленоград,улица Панфилова, 28Б,"Россия, Москва, Зеленоград, улица Панфилова, 28Б",+7 (915) 232-00-82,,http://3dprintuslu.ga/,пн-пт 10:00–18:00; сб 11:00–17:00,55.983137,37.171685,,,,,https://yandex.ru/maps/org/3dworkshop/203248178420,http://3dprintuslu.ga/,+7 (915) 232-00-82
5142177706,Итвм 3d,3D-печать | литейное производство | пластмассовые и пластиковые изделия,111141,Россия,,,Москва,Кусковская улица, 20А,"Россия, Москва, Кусковская улица, 20А","+7 (926) 190-51-70,+7 (929) 680-27-76",+7 (495) 740-51-70,http://itvm3d.ru/,пн-пт 10:00–20:00,55.739823,37.783141,,,"Способ оплаты(дисконтная система скидок,предоплата,постоплата,наличными,оплата картой,электронными деньгами,банковским переводом,наложенным платежом) | Оплата картой",,https://yandex.ru/maps/org/itvm_3d/5142177706,http://itvm3d.ru/,+7 (495) 740-51-70 | +7 (926) 190-51-70 | +7 (929) 680-27-76
200423046901,3DVast,3D-печать | пластмассовые и пластиковые изделия,123290,Россия,,,Москва,улица Ермакова Роща," 7А, стр. 1","Россия, Москва, улица Ермакова Роща, 7А, стр. 1",+7 (925) 569-55-86,,https://3dvast.ru/,пн-пт 9:00–19:00,55.758614,37.53044,,,"Способ оплаты(наличными,электронными деньгами,банковским переводом)",https://www.instagram.com/3dvast/,https://yandex.ru/maps/org/3dvast/200423046901,https://3dvast.ru/,+7 (925) 569-55-86
21656499294,Aprodin,3D-печать,123290,Россия,,,Москва,Мукомольный проезд," 4А, стр. 2","Россия, Москва, Мукомольный проезд, 4А, стр. 2",,+7 (495) 956-00-03,http://www.aprodin.ru/,пн-пт 10:00–18:00,55.751844,37.525125,,,,,https://yandex.ru/maps/org/aprodin/21656499294,http://www.aprodin.ru/,+7 (495) 956-00-03
241407390119,3d Wax,3D-печать,105120,Россия,,,Москва,Верхняя Сыромятническая улица,2,"Россия, Москва, Верхняя Сыромятническая улица, 2",+7 (926) 858-50-85,+7 (495) 649-63-83,http://3dwax.ru/,пн-пт 10:00–18:00,55.754379,37.659306,,,Оплата картой,https://vk.com/3dwax | https://vk.com/stlmodels,https://yandex.ru/maps/org/3d_wax/241407390119,http://3dwax.ru/,+7 (495) 649-63-83 | +7 (926) 858-50-85
